wing_length_100um,
14.22,
16.50,
14.54,
16.65,
14.07,
15.92,
14.21,
16.14,
14.38,
16.46,
14.71,
15.98,
13.78,
16.13,
13.93,
16.50,
13.92,
15.47,
13.82,
16.27,
14.10,
16.26,
13.89,
"15.74 ",
"13.22 ",
16.19,
13.51,
16.62,
13.57,
15.20,
14.39,
"16.35 ",
13.88,
15.94,
"13.62 ",
15.70,
13.19,
"16.09 ",
"13.28 ",
"16.29 ",
13.15,
14.18,
"13.69 ",
15.35,
"13.79 ",
"15.91 ",
13.66,
15.68,
13.30,
15.67,
"13.33 ",
15.25,
"13.73 ",
15.75,
13.15,
15.88,
13.95,
15.77,
"13.63 ",
15.10,
